target_image_id,target_filename,source_image_id,source_filename,sha256,reason
ISIC_0000080,ISIC_0000080.jpg,ISIC_0000080,ISIC_0000080.jpg,005114d72ba4e40463e205d787de62f63785b19dfc111bf5e335fc8fb9f7a59e,exact_byte_level_duplicate
ISIC_0000120,ISIC_0000120.jpg,ISIC_0000120,ISIC_0000120.jpg,00f4e473d1be798c6eae4cb85e39a8737a2935e339034e9e98fe30fb0c0c2f07,exact_byte_level_duplicate
ISIC_0010086,ISIC_0010086.jpg,ISIC_0010086,ISIC_0010086.jpg,01154d08cde643843419f6e8be370dbffab512c8b880e10a6d38643d09349760,exact_byte_level_duplicate
ISIC_0000009,ISIC_0000009.jpg,ISIC_0000009,ISIC_0000009.jpg,015c14af831773d16b5f3ce87aa1ddbc6be7efd0d856bd2bac2c7a4fd3f5309a,exact_byte_level_duplicate
ISIC_0002439,ISIC_0002439.jpg,ISIC_0002439,ISIC_0002439.jpg,01c334d9fb466dac672c117a8c72bcdc43102703a9fddde2543c3dc5957075ec,exact_byte_level_duplicate
ISIC_0010480,ISIC_0010480.jpg,ISIC_0010480,ISIC_0010480.jpg,027db2b76427fc59c6367379725e0414b53a5ebb937147f28f3f2851e55180ab,exact_byte_level_duplicate
ISIC_0000004,ISIC_0000004.jpg,ISIC_0000004,ISIC_0000004.jpg,036678938dc7da0eecff14e3fe8f647e353060ac08e05226bf7e1d9433fed090,exact_byte_level_duplicate
ISIC_0011296,ISIC_0011296.jpg,ISIC_0011296,ISIC_0011296.jpg,037c3e0cd78df14213fe7007643f2e56e41a96227bd217d44bdd8ad4a7a7b6dd,exact_byte_level_duplicate
ISIC_0000445,ISIC_0000445.jpg,ISIC_0000445,ISIC_0000445.jpg,038837ea7a79a426f0719a6bf9e52bea29e85b975bfd2becea4c63e687fbdeed,exact_byte_level_duplicate
ISIC_0010036,ISIC_0010036.jpg,ISIC_0010036,ISIC_0010036.jpg,03e63e09fad576f7fc543a21dff896fa01ab4b6326c587ac2870fb1683146696,exact_byte_level_duplicate
ISIC_0010575,ISIC_0010575.jpg,ISIC_0010575,ISIC_0010575.jpg,03f86b4ea6f124a8e5dbb1b930cfc4dec32a1fc4dc7068fcbd0ff3fa3edf899b,exact_byte_level_duplicate
ISIC_0000199,ISIC_0000199.jpg,ISIC_0000199,ISIC_0000199.jpg,04f213feceb1dacad400ab0216dd0e87fd9367adec120c2b73e2f3da75aa9738,exact_byte_level_duplicate
ISIC_0000415,ISIC_0000415.jpg,ISIC_0000415,ISIC_0000415.jpg,0512fe4b45247dc9586b5bc903e8df119f99ed48d79b815dfac6dc826b1c1235,exact_byte_level_duplicate
ISIC_0011348,ISIC_0011348.jpg,ISIC_0011348,ISIC_0011348.jpg,05569de854d0ee9c700cf05609dc1c3eca148c7fcfdfca68b22538edef0e8b9a,exact_byte_level_duplicate
ISIC_0000089,ISIC_0000089.jpg,ISIC_0000089,ISIC_0000089.jpg,05703d20ae15795081e7c48f067c78b778d68c0e721bc97d5fb9b4e655db03c6,exact_byte_level_duplicate
ISIC_0010382,ISIC_0010382.jpg,ISIC_0010382,ISIC_0010382.jpg,0571d19d6945b06ef846b73807eeb1b68159c165b782bf958544f5bb34c27519,exact_byte_level_duplicate
ISIC_0000307,ISIC_0000307.jpg,ISIC_0000307,ISIC_0000307.jpg,05cf7c78d6b8ca57cf906a243b9c60d3f4fe275df5d74f8f35ade32085e65bd6,exact_byte_level_duplicate
ISIC_0000156,ISIC_0000156.jpg,ISIC_0000156,ISIC_0000156.jpg,0635ee6b6b5167ba614a985a6c6f9d0a6bd4bccc349d4972af282d94b6b4b45b,exact_byte_level_duplicate
